Sender,Recipient,Subject,Date,Priority,Body,Status
meisuen@apu.com,jamie@apu.com,Hi Jamies,06-11-2024 18:53,IMPORTANT,hiiiiiii,Sent
brittney@apu.com,jamie@apu.com,Meeting this wed,06-11-2024 19:03,NORMAL,Hi can we have a meetig this wednesday for DSTR?,Sent
brittney@apu.com,jamie@apu.com,Wow,06-11-2024 19:04,NORMAL,is thsi working,Sent
brittney@apu.com,angelina@apu.com,Hi this system is cool,06-11-2024 19:05,NORMAL,"Have you tried the new email ssytem yet, so cool skibidi no cap",Sent
meisuen@apu.com,brittney@apu.com,Hiya,06-11-2024 18:53,IMPORTANT,adhabdjasbdjaskd,Sent
meisuen@apu.com,brittney@apu.com,Meeting,06-11-2024 19:06,NORMAL,Yeah i think this sunday works.,Sent
meisuen@apu.com,jamie@apu.com,Hackhathon this Friday,06-11-2024 19:12,NORMAL,"Hi, how wil you be travelling to the hackhathon ah.",Sent
meisuen@apu.com,jamie@apu.com,Free free free,06-11-2024 19:13,SPAM,hiii free merch this sunday at apu. Come get scammed! heheheheh,Sent
meisuen@apu.com,angelina@apu.com,Free free free,06-11-2024 19:13,SPAM,hiii free merch this sunday at apu. Come get scammed! heheheheh,Sent
meisuen@apu.com,brittney@apu.com,Free free free,06-11-2024 19:14,SPAM,hiii free merch this sunday at apu. Come get scammed! heheheheh,Sent
meisuen@apu.com,brittney@apu.com,Fein,06-11-2024 19:18,NORMAL,FEIN FEI FEIN FEIN,Sent
