Sender,Recipient,Subject,Date,Priority,Body
jamie@mail.com,meisuen@apu.com,fwq,,NORMAL,Is that seriously how you spell his name?
jamie@mail.com,meisuen@apu.com,r,,NORMAL,I‘m going to try for 2 months ha ha only joking
jamie@mail.com,meisuen@apu.com,sdf,,NORMAL,So ü pay first lar... Then when is da stock comin...
jamie@mail.com,meisuen@apu.com,b,,NORMAL,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
jamie@mail.com,meisuen@apu.com,fgyg,,NORMAL,Ffffffffff. Alright no way I can meet up with you sooner?
jamie@mail.com,meisuen@apu.com,Joke,,NORMAL,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol
jamie@mail.com,meisuen@apu.com,dg,,NORMAL,Lol your always so convincing.
jamie@mail.com,meisuen@apu.com,we,,NORMAL,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?
jamie@mail.com,meisuen@apu.com,sdf,,NORMAL,"""I'm back &amp; we're packing the car now, I'll let you know if there's room"""
jamie@mail.com,meisuen@apu.com,bsd,,NORMAL,Ahhh. Work. I vaguely remember that! What does it feel like? Lol
jamie@mail.com,meisuen@apu.com,s,,NORMAL,"""Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us"""
jamie@mail.com,meisuen@apu.com,f,,NORMAL,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?
jamie@mail.com,meisuen@apu.com,sdf,,NORMAL,K tell me anything about you.
jamie@mail.com,meisuen@apu.com,gs,,NORMAL,For fear of fainting with the of all that housework you just did? Quick have a cuppa
jamie@mail.com,meisuen@apu.com,dh,,NORMAL,Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged
jamie@mail.com,meisuen@apu.com,,,NORMAL,Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
jamie@mail.com,meisuen@apu.com,qe,,NORMAL,"""Oops, I'll let you know when my roommate's done"""
jamie@mail.com,meisuen@apu.com,sdf,,NORMAL,I see the letter B on my car
jamie@mail.com,meisuen@apu.com,fas,,NORMAL,Anything lor... U decide...
jamie@mail.com,meisuen@apu.com,fas,,NORMAL,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!
jamie@mail.com,meisuen@apu.com,as,,NORMAL,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola
jamie@mail.com,meisuen@apu.com,f,,NORMAL,"""Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy"""
jamie@mail.com,meisuen@apu.com,dgds,,SPAM,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow
jamie@mail.com,meisuen@apu.com,gs,,NORMAL,WHO ARE YOU SEEING?
jamie@mail.com,meisuen@apu.com,sdf,,NORMAL,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
jamie@mail.com,meisuen@apu.com,sg,,NORMAL,No calls..messages..missed calls
jamie@mail.com,meisuen@apu.com,sdg,,NORMAL,Didn't you get hep b immunisation in nigeria.
jamie@mail.com,meisuen@apu.com,sdg,,NORMAL,"""Fair enough, anything going on?"""
jamie@mail.com,meisuen@apu.com,we,,NORMAL,"""Yeah hopefully, if tyler can't do it I could maybe ask around a bit"""
